Size(Bytes),ThreadsPerBlock,Blocks,Stride,Bandwidth(GB/s)
268435456,1024,1,8,0.02GB/s
268435456,1024,1,16,0.03GB/s
268435456,1024,1,32,0.02GB/s
268435456,1024,2,1,0.05GB/s
268435456,1024,2,2,0.06GB/s
268435456,1024,2,4,0.05GB/s
268435456,1024,2,8,0.05GB/s
268435456,1024,2,16,0.05GB/s
268435456,1024,2,32,0.05GB/s
268435456,1024,4,1,0.09GB/s
268435456,1024,4,2,0.09GB/s
268435456,1024,4,4,0.10GB/s
268435456,1024,4,8,0.09GB/s
268435456,1024,4,16,0.10GB/s
268435456,1024,4,32,0.09GB/s
268435456,1024,8,1,0.18GB/s
268435456,1024,8,2,0.17GB/s
268435456,1024,8,4,0.18GB/s
268435456,1024,8,8,0.14GB/s
268435456,1024,8,16,0.16GB/s
268435456,1024,8,32,0.18GB/s
268435456,1024,16,1,0.41GB/s
268435456,1024,16,2,0.36GB/s
268435456,1024,16,4,0.45GB/s
268435456,1024,16,8,0.35GB/s
268435456,1024,16,16,0.38GB/s
268435456,1024,16,32,0.33GB/s
268435456,1024,32,1,0.73GB/s
268435456,1024,32,2,0.79GB/s
268435456,1024,32,4,0.72GB/s
268435456,1024,32,8,0.75GB/s
268435456,1024,32,16,0.78GB/s
268435456,1024,32,32,0.67GB/s
1073741824,1024,1,1,0.02GB/s
1073741824,1024,1,2,0.00GB/s
1073741824,1024,1,4,0.02GB/s
1073741824,1024,1,8,0.02GB/s
1073741824,1024,1,16,0.02GB/s
1073741824,1024,1,32,0.02GB/s
1073741824,1024,2,1,0.04GB/s
1073741824,1024,2,2,0.04GB/s
1073741824,1024,2,4,0.04GB/s
1073741824,1024,2,8,0.05GB/s
1073741824,1024,2,16,0.05GB/s
1073741824,1024,2,32,0.05GB/s
1073741824,1024,4,1,0.11GB/s
1073741824,1024,4,2,0.09GB/s
1073741824,1024,4,4,0.08GB/s
1073741824,1024,4,8,0.08GB/s
1073741824,1024,4,16,0.09GB/s
1073741824,1024,4,32,0.08GB/s
1073741824,1024,8,1,0.19GB/s
1073741824,1024,8,2,0.18GB/s
1073741824,1024,8,4,0.17GB/s
1073741824,1024,8,8,0.19GB/s
1073741824,1024,8,16,0.18GB/s
1073741824,1024,8,32,0.18GB/s
1073741824,1024,16,1,0.35GB/s
1073741824,1024,16,2,0.35GB/s
1073741824,1024,16,4,0.34GB/s
1073741824,1024,16,8,0.34GB/s
1073741824,1024,16,16,0.38GB/s
1073741824,1024,16,32,0.35GB/s
1073741824,1024,32,1,0.73GB/s
1073741824,1024,32,2,0.76GB/s
1073741824,1024,32,4,0.67GB/s
1073741824,1024,32,8,0.72GB/s
1073741824,1024,32,16,0.70GB/s
1073741824,1024,32,32,0.67GB/s
